"name","namespace","revision","updated","status","chart","app_version"
"vector-backend-cu-8et808","default","1","2024-09-26 12:30:41.773207124 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-backend-cu-8et808-audit","default","1","2024-09-26 12:29:27.304218611 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-cu-8et808-frontend","default","1","2024-09-26 12:32:40.317404383 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-cu-8et808-rabbitmq","default","1","2024-09-26 12:27:12.223393465 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-cu-8et808-redis","default","1","2024-09-26 12:28:02.508159805 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-backend-fi-6laeqq","default","1","2024-09-26 14:21:27.288895655 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-backend-fi-6laeqq-audit","default","1","2024-09-26 14:21:09.847124791 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-fi-6laeqq-db","default","1","2024-09-26 14:09:34.950826591 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"vector-backend-fi-6laeqq-frontend","default","1","2024-09-26 14:23:45.450706535 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-fi-6laeqq-rabbitmq","default","1","2024-09-26 14:19:34.443481036 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-fi-6laeqq-redis","default","1","2024-09-26 14:20:25.04368129 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-backend-fi-7zmj4p","default","2","2024-09-23 07:28:11.683949928 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-backend-fi-7zmj4p-audit","default","3","2024-09-23 07:28:00.492951896 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-fi-7zmj4p-db","default","1","2024-09-23 06:23:41.978751397 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"vector-backend-fi-7zmj4p-frontend","default","1","2024-09-23 07:30:36.30007892 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-fi-7zmj4p-rabbitmq","default","3","2024-09-23 07:27:49.104450331 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-fi-7zmj4p-redis","default","3","2024-09-23 07:27:55.371606345 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-backend-fi-p1ujym","default","1","2024-09-25 07:49:59.261537299 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-backend-fi-p1ujym-audit","default","1","2024-09-25 07:49:47.444025882 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-fi-p1ujym-db","default","1","2024-09-25 07:39:27.428878341 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"vector-backend-fi-p1ujym-frontend","default","1","2024-09-25 07:52:19.149351919 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-fi-p1ujym-rabbitmq","default","1","2024-09-25 07:48:22.309021314 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-fi-p1ujym-redis","default","1","2024-09-25 07:49:08.725940604 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-cargowise-ap-processing","default","198","2024-09-26 06:50:55.067428256 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-bynngf","default","2","2024-09-06 13:03:08.606910066 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-bynngf-db","default","1","2024-09-06 11:30:05.289563534 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-cargowise-bynngf-rabbitmq","default","4","2024-09-06 13:03:03.86041659 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-cargowise-reference-lookup","default","167","2024-09-26 13:54:50.464291707 +0000 UTC","failed","vector-cargowise-reference-lookup-0.1.0","1.0"
"vector-clamav","default","1","2023-05-04 17:21:59.461018656 +0000 UTC","deployed","vector-clamav-0.1.0","1.16.0"
"vector-classify","default","414","2024-09-26 10:08:14.215202188 +0000 UTC","deployed","vector-classify-0.1.0","1.0"
"vector-config-man-6cipoo-db","default","1","2024-05-03 14:37:19.617507435 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-b17vew-db","default","2","2024-04-02 16:16:59.863250966 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-fdhooh-db","default","1","2024-05-24 14:39:16.674849393 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-q2x9bk-db","default","1","2024-07-29 18:47:36.535927638 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-yskd4w-db","default","1","2024-04-16 14:36:33.026643976 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-manager","default","1289","2024-09-19 14:53:25.644939276 +0000 UTC","deployed","vector-config-manager-0.1.0","1.0"
"vector-dbt-docs","default","49","2024-09-25 15:35:57.724686558 +0000 UTC","deployed","vector-dbt-docs-0.1.0","1.16.0"
"vector-document-extraction","default","126","2024-09-20 13:58:49.734234517 +0000 UTC","deployed","vector-document-extraction-0.1.0","1.0"
"vector-email-processing","default","48","2023-11-21 21:31:53.223594227 +0000 UTC","deployed","vector-email-processing-0.1.0","1.0"
"vector-email-serv-6eyf2u","default","1","2024-08-02 09:21:45.628886535 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-email-serv-6eyf2u-be","default","1","2024-08-02 09:22:18.611452294 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-email-serv-6eyf2u-db-be","default","1","2024-08-02 09:11:09.776164292 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-email-serv-6eyf2u-db-email","default","1","2024-08-02 08:19:51.797691146 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-email-serv-6eyf2u-e","default","2","2024-08-02 08:42:04.488966767 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-email-serv-6eyf2u-fe","default","1","2024-08-02 09:23:55.448300769 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-email-serv-6eyf2u-rabbitmq","default","1","2024-08-02 09:20:28.114621566 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-email-serv-6eyf2u-redis","default","3","2024-08-02 09:20:20.581639178 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-email-service","default","181","2024-09-26 09:25:08.106931386 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-entity-classifier","default","4","2020-09-10 10:15:43.098629526 +0000 UTC","deployed","vector-entity-classifier-0.1.0","1.0"
"vector-etron","default","75","2024-09-16 19:52:33.064778873 +0000 UTC","deployed","vector-etron-0.1.0","1.0"
"vector-excel-extraction","default","26","2024-09-20 09:21:21.090724607 +0000 UTC","deployed","vector-excel-extraction-0.1.0","1.0"
"vector-extract","default","1261","2024-09-26 16:16:14.621931 +0100 BST","failed","vector-extract-0.1.0","1.0"
"vector-extract-cr-wctu2b-db","default","1","2024-09-18 09:21:27.37057785 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-extract-cr-wctu2b-elasticsearch","default","1","2024-09-18 09:23:08.224700644 +0000 UTC","deployed","elasticsearch-19.5.15","8.6.2"
"vector-extract-cr-wctu2b-redis","default","1","2024-09-18 09:25:30.923042499 +0000 UTC","deployed","redis-17.10.2","7.0.11"
"vector-extract-fe-8xat2s-db","default","1","2024-06-04 10:45:21.565415034 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-extract-fe-8xat2s-elasticsearch","default","1","2024-06-04 10:47:18.053185854 +0000 UTC","deployed","elasticsearch-19.5.15","8.6.2"
"vector-extract-fe-8xat2s-redis","default","1","2024-06-04 10:49:36.848643248 +0000 UTC","deployed","redis-17.10.2","7.0.11"
"vector-frontend","default","4194","2024-09-26 15:17:34.472048673 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-2sg2au","default","16","2024-09-26 13:51:00.762893199 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-yk7ei2","default","19","2024-09-25 18:03:16.380587848 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-b-yk7ei2-unleash-proxy","default","19","2024-09-25 18:03:23.643328643 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-c-j16620","default","5","2024-09-23 07:27:23.711799029 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-c-j16620-unleash-proxy","default","5","2024-09-23 07:27:36.112725899 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-c-wl3wg9","default","1","2024-09-25 21:49:43.591025197 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-c-wl3wg9-unleash-proxy","default","1","2024-09-25 21:49:51.641844701 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-e-et98tk","default","1","2024-09-26 12:47:26.431306308 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-e-et98tk-unleash-proxy","default","1","2024-09-26 12:47:34.647922735 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-f-z1jutr","default","6","2024-09-26 15:24:39.411189706 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-f-z1jutr-unleash-proxy","default","6","2024-09-26 15:24:49.960703774 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-m-tf0y7d","default","1","2024-09-25 16:12:17.224512202 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-m-tf0y7d-unleash-proxy","default","1","2024-09-25 16:12:27.311463705 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-5rq7xe","default","10","2024-09-20 10:41:41.968154834 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-o-5rq7xe-unleash-proxy","default","10","2024-09-20 10:41:51.118631677 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-o-m05sln","default","13","2024-09-26 14:17:34.332146577 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-frontend-o-m05sln-unleash-proxy","default","13","2024-09-26 14:17:41.591892192 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-frontend-unleash-proxy","default","2831","2024-09-26 15:17:57.200097148 +0000 UTC","deployed","unleash-proxy-0.1.0","1.0"
"vector-hoppscotch","default","1","2023-03-30 09:25:22.350825833 +0000 UTC","deployed","vector-hoppscotch-0.1.0","1.16.0"
"vector-issuer-recognition","default","133","2024-09-26 10:47:58.049941842 +0000 UTC","deployed","vector-issuer-recognition-0.1.0","1.0"
"vector-large-models-client","default","154","2024-09-20 08:25:02.510877764 +0000 UTC","deployed","vector-large-models-client-0.1.0","1.0"
"vector-metabase","default","7","2024-08-12 11:39:58.63092946 +0000 UTC","deployed","vector-metabase-0.1.0","1.16.0"
"vector-netchb","default","3","2022-03-22 13:49:03.141395718 +0000 UTC","deployed","vector-netchb-0.1.0","1.0"
"vector-ocr-manager","default","379","2024-09-19 13:49:52.26445905 +0000 UTC","deployed","vector-ocr-manager-0.1.0","1.0"
"vector-ocr-manager-reader","default","180","2024-09-19 13:49:59.041267722 +0000 UTC","deployed","vector-ocr-manager-0.1.0","1.0"
"vector-payment-integrations","default","75","2024-07-19 14:15:27.962253219 +0000 UTC","deployed","vector-payment-integrations-0.1.0","0.1"
"vector-ports-service","default","16","2022-10-03 08:41:25.347817244 +0000 UTC","deployed","vector-ports-service-0.1.0","1.16.0"
"vector-rules","default","18","2024-09-23 09:58:47.389931674 +0000 UTC","deployed","vector-rules-0.1.0","1.0"
"vector-sentence-tagger","default","5","2020-09-17 18:01:11.384928992 +0000 UTC","deployed","vector-sentence-tagger-0.1.0","1.0"
"vector-splice","default","242","2024-09-26 10:06:03.32645031 +0000 UTC","deployed","vector-splice-0.1.0","1.0"
"vector-standardize","default","481","2024-09-25 14:04:23.952160086 +0000 UTC","deployed","vector-standardize-0.1.0","1.0"
"vector-website","default","42","2021-07-02 11:08:42.785630886 +0000 UTC","deployed","vector-website-0.1.0","1.0"
"workflow-builder","default","189","2024-09-26 09:15:41.867358026 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-1kk157","default","3","2024-09-26 10:33:34.695946886 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-1kk157-audit","default","3","2024-09-26 10:33:00.312794991 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-1kk157-be","default","3","2024-09-26 10:35:47.09693672 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-1kk157-db-be","default","1","2024-09-26 07:18:25.418458473 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-1kk157-fe","default","3","2024-09-26 10:37:31.474096754 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-1kk157-rabbitmq","default","3","2024-09-26 10:32:55.37740121 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-1kk157-redis","default","3","2024-09-26 10:32:48.151977245 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-74v3ss","default","1","2024-09-24 05:41:39.003008203 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-74v3ss-audit","default","1","2024-09-24 05:37:48.157790389 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-74v3ss-be","default","1","2024-09-24 05:42:50.771310902 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-74v3ss-db-be","default","1","2024-09-24 05:27:18.926358495 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-74v3ss-fe","default","1","2024-09-24 05:44:57.704939995 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-74v3ss-rabbitmq","default","1","2024-09-24 05:36:59.170332268 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-74v3ss-redis","default","1","2024-09-24 05:36:20.69367873 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-aifydv","default","2","2024-09-26 06:21:51.164096817 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-aifydv-audit","default","2","2024-09-26 06:21:15.043777242 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-aifydv-be","default","2","2024-09-26 06:22:02.990694684 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-aifydv-db-be","default","1","2024-09-25 04:42:09.90994217 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-aifydv-fe","default","2","2024-09-26 06:24:09.841508931 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-aifydv-rabbitmq","default","2","2024-09-26 06:21:10.085225298 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-aifydv-redis","default","2","2024-09-26 06:21:01.305872009 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-anrj3b","default","6","2024-09-26 15:26:23.382578511 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-anrj3b-audit","default","6","2024-09-26 15:25:47.718784057 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-anrj3b-be","default","6","2024-09-26 15:26:35.582385522 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-anrj3b-db-be","default","1","2024-09-25 15:15:58.075612758 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-anrj3b-fe","default","6","2024-09-26 15:28:28.12649534 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-anrj3b-rabbitmq","default","6","2024-09-26 15:25:42.885257358 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-anrj3b-redis","default","6","2024-09-26 15:25:36.003982402 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-fwk-543","default","1","2024-09-26 10:49:42.212987746 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-fwk-543-audit","default","1","2024-09-26 10:49:08.968267236 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-fwk-543-be","default","1","2024-09-26 10:50:54.144328896 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-fwk-543-db-be","default","1","2024-09-26 10:41:29.884326297 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-fwk-543-fe","default","1","2024-09-26 10:52:59.824477114 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-fwk-543-rabbitmq","default","1","2024-09-26 10:48:23.931546568 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-fwk-543-redis","default","1","2024-09-26 10:47:11.418473836 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"workflow-builder-fwk-572","default","2","2024-09-25 05:34:12.991610838 +0000 UTC","deployed","workflow-builder-0.1.0","1.0"
"workflow-builder-fwk-572-audit","default","2","2024-09-25 05:33:37.046077351 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"workflow-builder-fwk-572-be","default","2","2024-09-25 05:35:54.98348248 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"workflow-builder-fwk-572-db-be","default","1","2024-09-25 04:46:15.325084763 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"workflow-builder-fwk-572-fe","default","2","2024-09-25 05:37:23.084652341 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"workflow-builder-fwk-572-rabbitmq","default","2","2024-09-25 05:33:32.100034282 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"workflow-builder-fwk-572-redis","default","2","2024-09-25 05:33:24.953542958 +0000 UTC","deployed","redis-17.15.6","7.2.0"
