"name","namespace","revision","updated","status","chart","app_version"
"vector-backend-fi-p1ujym-audit","default","1","2024-09-20 08:36:06.562525366 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-fi-p1ujym-db","default","1","2024-09-20 08:23:34.719154395 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"vector-backend-fi-p1ujym-frontend","default","1","2024-09-20 08:38:36.817227082 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-fi-p1ujym-rabbitmq","default","1","2024-09-20 08:34:37.419897833 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-fi-p1ujym-redis","default","1","2024-09-20 08:35:23.735268682 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-backend-om-eqpcna","default","27","2024-09-20 10:42:32.250665439 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-backend-om-eqpcna-audit","default","27","2024-09-20 10:42:20.960432948 +0000 UTC","deployed","vector-audit-service-0.1.0","1.0"
"vector-backend-om-eqpcna-db","default","1","2024-08-21 13:40:10.149253834 +0000 UTC","deployed","postgresql-12.12.10","15.4.0"
"vector-backend-om-eqpcna-frontend","default","26","2024-09-20 10:45:08.08206772 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-backend-om-eqpcna-rabbitmq","default","27","2024-09-20 10:42:07.672244236 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-backend-om-eqpcna-redis","default","27","2024-09-20 10:42:14.681091442 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-cargowise-9npzgn","default","6","2024-09-23 07:50:46.031465064 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-9npzgn-db","default","1","2024-09-13 09:48:42.542436471 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-cargowise-9npzgn-rabbitmq","default","6","2024-09-23 07:50:41.40541067 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-cargowise-ap-processing","default","191","2024-09-19 13:09:17.781987932 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-b89zaf","default","2","2024-09-19 13:38:26.831394612 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-b89zaf-db","default","1","2024-09-19 12:19:27.650370943 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-cargowise-b89zaf-rabbitmq","default","2","2024-09-19 13:38:21.571257874 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-cargowise-bynngf","default","2","2024-09-06 13:03:08.606910066 +0000 UTC","deployed","vector-cargowise-ap-processing-0.1.0","1.0"
"vector-cargowise-bynngf-db","default","1","2024-09-06 11:30:05.289563534 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-cargowise-bynngf-rabbitmq","default","4","2024-09-06 13:03:03.86041659 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-cargowise-reference-lookup","default","162","2024-09-23 07:57:02.253813213 +0000 UTC","deployed","vector-cargowise-reference-lookup-0.1.0","1.0"
"vector-clamav","default","1","2023-05-04 17:21:59.461018656 +0000 UTC","deployed","vector-clamav-0.1.0","1.16.0"
"vector-classify","default","411","2024-09-23 10:16:34.73832968 +0000 UTC","deployed","vector-classify-0.1.0","1.0"
"vector-config-man-6cipoo-db","default","1","2024-05-03 14:37:19.617507435 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-b17vew-db","default","2","2024-04-02 16:16:59.863250966 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-fdhooh-db","default","1","2024-05-24 14:39:16.674849393 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-q2x9bk-db","default","1","2024-07-29 18:47:36.535927638 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-man-yskd4w-db","default","1","2024-04-16 14:36:33.026643976 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-config-manager","default","1289","2024-09-19 14:53:25.644939276 +0000 UTC","deployed","vector-config-manager-0.1.0","1.0"
"vector-dbt-docs","default","46","2024-09-20 11:30:07.683973491 +0000 UTC","deployed","vector-dbt-docs-0.1.0","1.16.0"
"vector-document-extraction","default","126","2024-09-20 13:58:49.734234517 +0000 UTC","deployed","vector-document-extraction-0.1.0","1.0"
"vector-email-processing","default","48","2023-11-21 21:31:53.223594227 +0000 UTC","deployed","vector-email-processing-0.1.0","1.0"
"vector-email-serv-6eyf2u","default","1","2024-08-02 09:21:45.628886535 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-email-serv-6eyf2u-be","default","1","2024-08-02 09:22:18.611452294 +0000 UTC","deployed","vector-backend-0.1.0","1.0"
"vector-email-serv-6eyf2u-db-be","default","1","2024-08-02 09:11:09.776164292 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-email-serv-6eyf2u-db-email","default","1","2024-08-02 08:19:51.797691146 +0000 UTC","deployed","postgresql-11.7.0","14.4.0"
"vector-email-serv-6eyf2u-e","default","2","2024-08-02 08:42:04.488966767 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-email-serv-6eyf2u-fe","default","1","2024-08-02 09:23:55.448300769 +0000 UTC","deployed","vector-frontend-0.1.0","1.0"
"vector-email-serv-6eyf2u-rabbitmq","default","1","2024-08-02 09:20:28.114621566 +0000 UTC","deployed","rabbitmq-12.0.13","3.12.3"
"vector-email-serv-6eyf2u-redis","default","3","2024-08-02 09:20:20.581639178 +0000 UTC","deployed","redis-17.15.6","7.2.0"
"vector-email-service","default","178","2024-09-23 11:24:56.92500775 +0000 UTC","deployed","vector-email-service-0.1.0","1.0"
"vector-entity-classifier","default","4","2020-09-10 10:15:43.098629526 +0000 UTC","deployed","vector-entity-classifier-0.1.0","1.0"
"vector-etron","default","75","2024-09-16 19:52:33.064778873 +0000 UTC","deployed","vector-etron-0.1.0","1.0"
"vector-excel-extraction","default","26","2024-09-20 09:21:21.090724607 +0000 UTC","deployed","vector-excel-extraction-0.1.0","1.0"
"vector-extract","default","1259","2024-09-23 09:39:39.878436482 +0000 UTC","failed","vector-extract-0.1.0","1.0"
"vector-extract-cr-wctu2b-db","default","1","2024-09-18 09:21:27.37057785 +0000 UTC","deployed","postgresql-11.6.6","14.3.0"
"vector-extract-cr-wctu2b-elasticsearch","default","1","2024-09-18 09:23:08.224700644 +0000 UTC","deployed","elasticsearch-19.5.15","8.6.2"
